date,channel,campaign,impressions,clicks,conversions,website_visitors,bounce_rate,avg_session_duration
2024-04-01,Organic Search,,2436,101,0,161,63.43195191812513,3.5275436684732573
2024-04-01,Social Media,,2199,79,50,483,59.27136068762573,3.226344762565933
2024-04-01,Email Campaign,,3624,284,21,1209,55.54340348911128,1.3510606957483056
2024-04-01,Display Ads,New Product Launch,3588,236,21,386,41.66746779192238,4.698755793794606
2024-04-02,Organic Search,,578,215,35,556,65.04769601145676,2.4163694197778076
2024-04-02,Social Media,,1769,161,6,1398,52.88014668692294,3.018844322691254
2024-04-02,Email Campaign,Spring Promo,1827,289,13,247,68.57182318340014,2.4532365792205217
2024-04-02,Display Ads,New Product Launch,978,85,47,736,65.67992853963523,1.6466840857571414
2024-04-03,Organic Search,,3088,65,46,949,47.23139153833541,1.2055098479052906
2024-04-03,Social Media,Summer Sale,3743,30,3,562,37.90513423285318,1.7666017222779975
2024-04-03,Email Campaign,Spring Promo,2438,179,44,1153,59.07310022841432,3.4663641404377987
2024-04-03,Display Ads,,1917,171,22,630,65.4777641381828,4.204212734131852
2024-04-04,Organic Search,,4989,236,36,266,66.03471053400261,2.33255984783726
2024-04-04,Social Media,Spring Promo,4763,162,3,1068,38.92000660496266,4.836813714999516
2024-04-04,Email Campaign,Summer Sale,2623,128,45,351,54.777936069544296,4.819320619679992
2024-04-04,Display Ads,Summer Sale,1561,101,24,669,52.36083683466759,1.9928068068627462
2024-04-05,Organic Search,,723,101,10,316,42.95328737259237,1.4173652683916327
2024-04-05,Social Media,New Product Launch,4744,145,15,1085,57.71475976528854,3.810270219269116
2024-04-05,Email Campaign,,3312,54,47,382,55.93894530807998,3.4497999311228944
2024-04-05,Display Ads,New Product Launch,2589,49,21,581,34.53649329318834,4.841313593708138
2024-04-06,Organic Search,New Product Launch,1139,114,50,1087,54.62906759639786,3.7446578324784965
2024-04-06,Social Media,New Product Launch,699,21,0,1015,53.37038668172835,4.301828199602655
2024-04-06,Email Campaign,,4248,286,42,866,52.827013094013786,2.2663177409116453
2024-04-06,Display Ads,Summer Sale,2726,148,22,324,31.796891589653534,2.378693030173987
2024-04-07,Organic Search,,3482,234,46,937,52.58056890088835,1.302711715920569
2024-04-07,Social Media,,4540,222,18,209,63.79306695592298,2.9441084538090903
2024-04-07,Email Campaign,,2164,241,25,1341,42.16833436451889,1.4030475275196541
2024-04-07,Display Ads,,836,81,30,148,46.649539794719594,2.171887033139058
2024-04-08,Organic Search,Spring Promo,1669,90,26,468,41.96106317302862,3.670933116196075
2024-04-08,Social Media,,2288,283,28,1438,61.587922262065774,2.7738164303565456
2024-04-08,Email Campaign,Summer Sale,651,109,42,1370,40.88111102906968,1.6598840502216805
2024-04-08,Display Ads,,513,146,24,1020,49.58895546339657,1.9792194109694852
2024-04-09,Organic Search,,4790,190,30,1430,54.775544874188896,1.3920314794031614
2024-04-09,Social Media,,3922,150,38,778,43.413574262453864,1.135130143711717
2024-04-09,Email Campaign,,2822,192,26,1339,37.54848542691268,1.5326155179290968
2024-04-09,Display Ads,Spring Promo,534,214,16,1095,35.56726915641437,1.1466192211732498
2024-04-10,Organic Search,Spring Promo,1755,187,34,576,48.308909985896754,2.097172737527254
2024-04-10,Social Media,New Product Launch,3338,123,24,682,60.83315122171419,2.0690531616856616
2024-04-10,Email Campaign,Spring Promo,1198,122,45,1393,60.58976996260609,4.577911708431465
2024-04-10,Display Ads,,2908,43,6,597,35.71073586342686,2.5266598142254333
2024-04-11,Organic Search,,4886,133,16,992,50.95927434395329,4.257112645775242
2024-04-11,Social Media,,4258,73,22,1350,60.95271980225853,4.848546867767331
2024-04-11,Email Campaign,Summer Sale,2555,140,14,1470,69.21329847457642,4.855752878655871
2024-04-11,Display Ads,,4106,179,15,1459,51.71351276930909,4.279590136977468
2024-04-12,Organic Search,,4778,232,20,1047,32.821721472121354,1.007694588443032
2024-04-12,Social Media,,1369,91,12,857,64.04935308848346,3.347212187907256
2024-04-12,Email Campaign,,4313,72,42,1134,57.990952323176934,3.01370798002527
2024-04-12,Display Ads,,2935,137,9,200,58.75010526106089,3.708262641017514
2024-04-13,Organic Search,,4788,61,17,961,62.102095464968194,4.623977507286124
2024-04-13,Social Media,,4840,281,0,1279,33.39637690066405,3.3780880959235273
2024-04-13,Email Campaign,New Product Launch,2195,296,37,1416,67.58268303540393,1.6956696110093747
2024-04-13,Display Ads,,1544,194,31,787,69.79992421308395,1.9145162160813167
2024-04-14,Organic Search,New Product Launch,2069,52,39,791,50.70097759014416,4.414002042985347
2024-04-14,Social Media,,3462,132,31,1281,47.48220189388593,3.183862229029116
2024-04-14,Email Campaign,New Product Launch,2402,59,32,727,56.093301082771596,1.2455484283822882
2024-04-14,Display Ads,Summer Sale,2886,240,13,517,68.57104312709714,2.028873423407743
2024-04-15,Organic Search,New Product Launch,1060,62,26,1156,69.45391783447945,1.6385545041870628
2024-04-15,Social Media,,4152,108,9,1214,33.02457498057217,4.1354540130497845
2024-04-15,Email Campaign,,1740,29,24,735,53.06419120583862,1.803840033517961
2024-04-15,Display Ads,New Product Launch,926,191,30,1327,38.994281705858974,1.553424458893916
2024-04-16,Organic Search,,3653,32,28,622,59.535014029865145,2.867266637491721
2024-04-16,Social Media,New Product Launch,4927,211,23,668,57.762292343904484,4.532317313163359
2024-04-16,Email Campaign,Spring Promo,3427,88,35,975,42.92361089983052,2.95546152632613
2024-04-16,Display Ads,Summer Sale,1650,96,7,1484,51.05301576114243,2.663120537067924
2024-04-17,Organic Search,Summer Sale,2161,49,31,1464,68.4407340140022,3.0952242010970252
2024-04-17,Social Media,,2270,75,15,390,31.586463437320802,1.1053043326856744
2024-04-17,Email Campaign,Summer Sale,3534,174,11,419,58.44711777744932,3.5214765946134534
2024-04-17,Display Ads,,3781,281,32,1121,63.780590161445026,4.882667720836879
2024-04-18,Organic Search,,4886,113,14,1222,42.906190266485375,4.219518835815883
2024-04-18,Social Media,,2659,79,0,948,51.906579000649,4.861374162455229
2024-04-18,Email Campaign,,1284,187,11,771,50.93826435439368,4.1034690468733395
2024-04-18,Display Ads,,1563,104,12,547,37.85794047859573,1.535773063323092
